source_field,target_field,match_type,order
2F Affordable Housing Only,F2F_Affordable_Housing_Only,Replace,3.15
2F_AFF,F2F_Affordable_Housing_Only,Replace,3.15
F2F_AFF,F2F_Affordable_Housing_Only,Replace,3.15
F2F_Affordable_Housing_Only,F2F_Affordable_Housing_Only,Replace,3.15
3F Allowance,F3F_Allowance,Replace,4.01
F3F_Allowance,F3F_Allowance,Replace,4.01
F3FDP,F3F_Allowance,Replace,4.01
3F Front Setback,F3F_Front_Setback,Replace,4.03
3F_FSET,F3F_Front_Setback,Replace,4.03
F3F_Front_Setback,F3F_Front_Setback,Replace,4.03
F3F_FSET,F3F_Front_Setback,Replace,4.03
3F Side Setback,F3F_Side_Setback,Replace,4.04
3F_SSET,F3F_Side_Setback,Replace,4.04
F3F_Side_Setback,F3F_Side_Setback,Replace,4.04
F3F_SSET,F3F_Side_Setback,Replace,4.04
3F Rear Setback,F3F_Rear_Setback,Replace,4.05
3F_RSET,F3F_Rear_Setback,Replace,4.05
F3F_Rear_Setback,F3F_Rear_Setback,Replace,4.05
F3F_RSET,F3F_Rear_Setback,Replace,4.05
3F Frontage,F3F_Frontage,Replace,4.06
3F_FRONT,F3F_Frontage,Replace,4.06
F3F_FRONT,F3F_Frontage,Replace,4.06
F3F_Frontage,F3F_Frontage,Replace,4.06
3F Max Density,F3F_Max_Density,Replace,4.07
3F_MAX_DENS,F3F_Max_Density,Replace,4.07
F3F_MAX_DENS,F3F_Max_Density,Replace,4.07
F3F_Max_Density,F3F_Max_Density,Replace,4.07
3F Max Height,F3F_Max_Height,Replace,4.08
3F_HEIGHT,F3F_Max_Height,Replace,4.08
F3F_HEIGHT,F3F_Max_Height,Replace,4.08
F3F_Max_Height,F3F_Max_Height,Replace,4.08
3F Max Stories,F3F_Max_Stories,Replace,4.08
3F_STORIES,F3F_Max_Stories,Replace,4.08
F3F_Max_Stories,F3F_Max_Stories,Replace,4.08
F3F_STORIES,F3F_Max_Stories,Replace,4.08
3F Min Lot Size,F3F_Min_Lot_Size,Replace,4.09
3F_MIN_LOT,F3F_Min_Lot_Size,Replace,4.09
F3F_MIN_LOT,F3F_Min_Lot_Size,Replace,4.09
F3F_Min_Lot_Size,F3F_Min_Lot_Size,Replace,4.09
3F Max Lot Building Coverage,F3F_Max_Lot_Building_Coverage,Replace,4.10
3F_MAX_LOT_BLDG,F3F_Max_Lot_Building_Coverage,Replace,4.10
F3F_MAX_LOT_BLDG,F3F_Max_Lot_Building_Coverage,Replace,4.10
F3F_Max_Lot_Building_Coverage,F3F_Max_Lot_Building_Coverage,Replace,4.10
3F Max Lot Impervious Coverage,F3F_Max_Lot_Impervious_Coverage,Replace,4.11
3F_MAX_LOT_IMP,F3F_Max_Lot_Impervious_Coverage,Replace,4.11
F3F_MAX_LOT_IMP,F3F_Max_Lot_Impervious_Coverage,Replace,4.11
F3F_Max_Lot_Impervious_Coverage,F3F_Max_Lot_Impervious_Coverage,Replace,4.11
3F Min Parking Spaces per 1BR,F3F_Min_Parking_Spaces_per_1BR,Replace,4.12
3F_PARK_1BR,F3F_Min_Parking_Spaces_per_1BR,Replace,4.12
F3F_Min_Parking_Spaces_per_1BR,F3F_Min_Parking_Spaces_per_1BR,Replace,4.12
F3F_PARK_1BR,F3F_Min_Parking_Spaces_per_1BR,Replace,4.12
3F Min Parking Spaces per mult BR,F3F_Min_Parking_Spaces_per_mult_BR,Replace,4.13
3F_PARK_2BR,F3F_Min_Parking_Spaces_per_mult_BR,Replace,4.13
F3F_Min_Parking_Spaces_per_mult_BR,F3F_Min_Parking_Spaces_per_mult_BR,Replace,4.13
F3F_PARK_2BR,F3F_Min_Parking_Spaces_per_mult_BR,Replace,4.13
3F Affordable Housing Only,F3F_Affordable_Housing_Only,Replace,4.15
3F_AFF,F3F_Affordable_Housing_Only,Replace,4.15
F3F_AFF,F3F_Affordable_Housing_Only,Replace,4.15
F3F_Affordable_Housing_Only,F3F_Affordable_Housing_Only,Replace,4.15
3F Proximity to Public Transit Required,F3F_Proximity_to_Public_Transit_Required,Replace,4.16
3F_CNXN_TRANSIT,F3F_Proximity_to_Public_Transit_Required,Replace,4.16
F3F_CNXN_TRANSIT,F3F_Proximity_to_Public_Transit_Required,Replace,4.16
F3F_Proximity_to_Public_Transit_Required,F3F_Proximity_to_Public_Transit_Required,Replace,4.16
3F Connection to Sewage/Water Required,F3F_Connection_to_Sewage/Water_Required,Replace,4.17
F3F_Connection_to_Sewage_Water_Required,F3F_Connection_to_Sewage/Water_Required,Replace,4.17
F3F_Connection_to_Sewage/Water_Required,F3F_Connection_to_Sewage/Water_Required,Replace,4.17
4F Allowance,F4F_Allowance,Replace,5.01
F4F_Allowance,F4F_Allowance,Replace,5.01
F4FDP,F4F_Allowance,Replace,5.01
4F Front Setback,F4F_Front_Setback,Replace,5.03
4F_FSET,F4F_Front_Setback,Replace,5.03
F4F_Front_Setback,F4F_Front_Setback,Replace,5.03
F4F_FSET,F4F_Front_Setback,Replace,5.03
4F Side Setback,F4F_Side_Setback,Replace,5.04
4F_SSET,F4F_Side_Setback,Replace,5.04
F4F_Side_Setback,F4F_Side_Setback,Replace,5.04
F4F_SSET,F4F_Side_Setback,Replace,5.04
4F Rear Setback,F4F_Rear_Setback,Replace,5.05
4F_RSET,F4F_Rear_Setback,Replace,5.05
F4F_Rear_Setback,F4F_Rear_Setback,Replace,5.05
F4F_RSET,F4F_Rear_Setback,Replace,5.05
4F Frontage,F4F_Frontage,Replace,5.06
4F_FRONT,F4F_Frontage,Replace,5.06
F4F_FRONT,F4F_Frontage,Replace,5.06
F4F_Frontage,F4F_Frontage,Replace,5.06
F1F_Max_Density,F1F_Max_Density,Replace,5.07
4F Max Density,F4F_Max_Density,Replace,5.07
4F_MAX_DENS,F4F_Max_Density,Replace,5.07
F4F_MAX_DENS,F4F_Max_Density,Replace,5.07
F4F_Max_Density,F4F_Max_Density,Replace,5.07
4F Max Height,F4F_Max_Height,Replace,5.08
4F_HEIGHT,F4F_Max_Height,Replace,5.08
F4F_HEIGHT,F4F_Max_Height,Replace,5.08
F4F_Max_Height,F4F_Max_Height,Replace,5.08
4F Max Stories,F4F_Max_Stories,Replace,5.08
4F_STORIES,F4F_Max_Stories,Replace,5.08
F4F_Max_Stories,F4F_Max_Stories,Replace,5.08
F4F_STORIES,F4F_Max_Stories,Replace,5.08
4F Min Lot Size,F4F_Min_Lot_Size,Replace,5.09
